id,created_at,text,sentiment,predicted_companies,valid_companies,invalid_companies
223041,2020-04-27 00:41:06+00:00,RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…,neutral,CINF;PAYX;IVZ;BLK;PNW;AVB;MDLZ;CI;VICI;PEG,,CINF;PAYX;IVZ;BLK;PNW;AVB;MDLZ;CI;VICI;PEG
417260,2020-06-04 07:29:51+00:00,Guys if market stays below 10000 till 2 expect a major major crash in nifty #nifty #banknifty #stocks,negative,DOW;ROL;TFC;ITW;BLK;AME;IFF;BRK.B;BSX;NVR,,DOW;ROL;TFC;ITW;BLK;AME;IFF;BRK.B;BSX;NVR
436313,2020-06-06 15:06:34+00:00,How will the future fly for Spirit Air $SAVE ? #Blog with Stocks&amp;Sports on $FB 🤖 Bots &amp; AI also welcome to blog about #salesforce $CRM @Tommycoulter4 https://t.co/SBae6qvO6p,neutral,PAYX;UBER;BLK;AVB;TRMB;OMC;CI;TROW;ESS;VTRS,,PAYX;UBER;BLK;AVB;TRMB;OMC;CI;TROW;ESS;VTRS
516487,2020-06-14 18:33:57+00:00,Interesting comparison to 2007-09 market of $SPX stocks above 200 day. Much of 2008 bear market was under that 50 level marked by red line. Once it got above 65% level in summer 2009 the smoke cleared. Not as weak in 2020 but something to watch https://t.co/eWP915CcBj,negative,PNW;AVB;DOW;VTRS;OMC;BRK.B;TFC;TROW;PCG;DVN,,PNW;AVB;DOW;VTRS;OMC;BRK.B;TFC;TROW;PCG;DVN
378564,2020-06-01 09:27:28+00:00,"#CANBK

CANBK 25-Jun-2020 , Now @ 93++++++++++++++++

#nifty #banknifty #equity #stocks #analysis #trading #sp https://t.co/OSGXfbjKqf",neutral,OMC;VTRS;AVB;UNH;BLK;CCI;ABT;V;MDLZ;VICI,,OMC;VTRS;AVB;UNH;BLK;CCI;ABT;V;MDLZ;VICI
539347,2020-06-16 17:36:40+00:00,"4/ that is, Spot premium. No major price peaks during this phase.

During distribution, funding stays largely positive &amp; futures trade at premium constantly.

So, constant spot premium is a precursor to organic demand $BTC #BTC #Bitcoin #TA #SP500",positive,TROW;BLK;TFC;BRK.B;PSA;ESS;ROL;LLY;PNW;BEN,,TROW;BLK;TFC;BRK.B;PSA;ESS;ROL;LLY;PNW;BEN
739221,2020-07-01 11:30:04+00:00,Chile: On The Road to Recovery in 2021? https://t.co/xp152EE1hm $AAPL $TSLA $FB https://t.co/cHvzQi7Fv3,neutral,VICI;AVB;CCI;PNW;VTRS;VLTO;FANG;IVZ;UNH;EXE,,VICI;AVB;CCI;PNW;VTRS;VLTO;FANG;IVZ;UNH;EXE
310725,2020-05-07 13:10:28+00:00,"RT @ForecastCity: Latest #EURNZD #TradeIdeas &amp; #TechnicalAnalysis is FREE now!

2686 pip #Profit in 82 days!

#Euro #EUR #NZD #Money #Forex…",positive,BLK;CINF;IVZ;BRK.B;CI;PAYX;MDLZ;GEHC;VTRS;AVB,,BLK;CINF;IVZ;BRK.B;CI;PAYX;MDLZ;GEHC;VTRS;AVB
836967,2020-07-09 02:30:51+00:00,"$VIR 

Since April i posted these levels 

Just follow the thread and the levels for support &amp; resistance / SL &amp; TP .

$SPX #nasdaq #TechnicalAnalysis #StockMarket #daytrading
$SPY $QQQ $IWM https://t.co/SsJ3JYbP0v https://t.co/2J0zIly9Yy",positive,VTRS;IVZ;TFC;AVB;VICI;OMC;TROW;CCI;BLK;PNW,,VTRS;IVZ;TFC;AVB;VICI;OMC;TROW;CCI;BLK;PNW
67928,2020-04-15 16:46:49+00:00,@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp; $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT,neutral,V;BBY;GD;UBER;TROW;MCD;PTC;IFF;ALGN;VTRS,,V;BBY;GD;UBER;TROW;MCD;PTC;IFF;ALGN;VTRS
886790,2020-07-13 06:59:35+00:00,"RT @RafKadian: $tsla &amp; $nio fot the day #trading #stocks
#RafTrading111 @adssgroup https://t.co/zwFA8po9YI",neutral,VICI;CCI;IVZ;OMC;VTRS;AVB;MDLZ;VLTO;ABT;CNP,,VICI;CCI;IVZ;OMC;VTRS;AVB;MDLZ;VLTO;ABT;CNP
73134,2020-04-15 11:48:14+00:00,"Q1 2020 EPS Estimates for Merck &amp; Co., Inc. $MRK Lowered by SVB Leerink  https://t.co/vi2fdhysb8",negative,AVB;VTRS;PNW;ABT;DOW;TMO;UNH;VRSN;WEC;VLTO,,AVB;VTRS;PNW;ABT;DOW;TMO;UNH;VRSN;WEC;VLTO
179429,2020-04-23 02:31:43+00:00,"RT @JohriNikhil: 3 of 8 #banks that infused confidence capital in #YesBank sold partial stakes from the ""free from lock-in"" portion at btw…",negative,OMC;TRMB;VICI;CTSH;BLK;AVB;BLDR;BX;VTRS;CNP,,OMC;TRMB;VICI;CTSH;BLK;AVB;BLDR;BX;VTRS;CNP
562362,2020-06-17 01:55:39+00:00,"RT @Reveretrading: As promised, June 17 Plan

*Click on Picture to Expand* 📌

Please feel free to share or like, I would appreciate your su…",neutral,BBY;LULU;TFC;ERIE;IFF;VTRS;UBER;AVY;ALGN;CMG,,BBY;LULU;TFC;ERIE;IFF;VTRS;UBER;AVY;ALGN;CMG
74333,2020-04-15 09:40:06+00:00,"8911.....IT IS THE BEST TIME TO COVER YOUR SHORTS

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/VjBrk7ugr0",positive,AVB;TROW;BLK;VTRS;TFC;BRK.B;CI;CCI;ESS;IVZ,,AVB;TROW;BLK;VTRS;TFC;BRK.B;CI;CCI;ESS;IVZ
455888,2020-06-08 11:48:24+00:00,"RT @FreeShyloNow: GM #Shylobots 🤖 🌄☕

3202🎯 LIS🔺 #ES_F $SPX $SPY

☝3202🎯📈😈

3209🎯 3220🎯 3229🎯 3232🎯

👎 3202🎯📉🐻

3194🎯 3189🎯 3182🎯 3177🎯

31…",neutral,VTR;IRM;AVB;CCI;PAYX;EQR;VICI;VTRS;BRK.B;MDLZ,,VTR;IRM;AVB;CCI;PAYX;EQR;VICI;VTRS;BRK.B;MDLZ
351275,2020-05-29 19:01:14+00:00,"There are cases where investing in a taxable account over an IRA makes sense. If you’re in a high income tax bracket, paying the lower capital gains tax rate on sales could save you on your tax bill. #stocks #markets #economy @StegentEquity Stegent Equity Advisors, Inc https://t.co/K6hex2nGOK",positive,ESS;TROW;PAYX;UBER;BLK;BEN;ALGN;BRK.B;AVB;TFC,,ESS;TROW;PAYX;UBER;BLK;BEN;ALGN;BRK.B;AVB;TFC
538661,2020-06-16 18:29:18+00:00,"#OfficeSupply orders up significantly as #USA shifted to #workfromhome.

See more data: https://t.co/W29QPIicmd

#Covid19 #alternativedata #HomeOffice #OfficeDepot #OfficeMax #Shopping #Staples #FedExKinkos #USPS #DHL #TNTExpress $ODP $CIO $FDX $UPS $HPP $HIW $HYG $AMZN $EBAY $M https://t.co/mx1GzTY6wo",positive,TFC;DHI;CCI;UNH;PNW;VRSN;AVB;ESS;PEG;VICI,,TFC;DHI;CCI;UNH;PNW;VRSN;AVB;ESS;PEG;VICI
859923,2020-07-11 10:07:37+00:00,#stocks making it too easy at times.  #OptionsTrading is my new love and it’s here to stay! https://t.co/NaktOndY98,positive,TROW;TFC;IFF;VTRS;BBY;UBER;KO;BRK.B;PAYX;OMC,,TROW;TFC;IFF;VTRS;BBY;UBER;KO;BRK.B;PAYX;OMC
923520,2020-07-15 01:21:09+00:00,"$T  Jul 14    
- Daily stock market timing forecast -    
◆ Investing view    
=&gt; Buy - Bullish    
◆ Search for the daily stock market timing forecast    
https://t.co/cgw2OmhClQ    
◆ Upper~Lower stock... https://t.co/5iEpNwOVuI https://t.co/vdb3vvRLNX",positive,VTRS;V;VICI;TROW;PAYX;CCI;PNW;UBER;TFC;ESS,,VTRS;V;VICI;TROW;PAYX;CCI;PNW;UBER;TFC;ESS
682710,2020-06-27 17:20:15+00:00,RT @leadlagreport: Several large corporations are stopping advertising on Facebook either till July or for the whole of this year. If these…,negative,WELL;EXR;MAA;PHM;ROL;HAL;NFLX;AVB;NVR;PSA,,WELL;EXR;MAA;PHM;ROL;HAL;NFLX;AVB;NVR;PSA
468685,2020-06-09 13:53:57+00:00,$AMZN nice little coiling here.,positive,MCD;AZO;UBER;AME;TFC;HPQ;ITW;ROL;WELL;MDLZ,,MCD;AZO;UBER;AME;TFC;HPQ;ITW;ROL;WELL;MDLZ
36981,2020-04-13 17:31:40+00:00,"TOS frozen for anyone else?

#es_f $spx $spy #options #futures #cl_f $forex",neutral,IVZ;MDLZ;BLK;AVB;VICI;CCI;TROW;PNW;TFC;BRK.B,,IVZ;MDLZ;BLK;AVB;VICI;CCI;TROW;PNW;TFC;BRK.B
890710,2020-07-14 22:25:18+00:00,"#NASDAQ E-mini #Futures #NQ_F  ⬆️ 77.25 Points (0.73%) to 10,720.5 #futurestrading #future #NASDAQ100 #Investment #investing #invest #investor #investors #stock #stocks #StockMarket https://t.co/mzotIguudf https://t.co/jAJH0jEmGH https://t.co/V3OkdJwJEL",positive,AVB;CCI;VICI;ABT;VLTO;OMC;EQR;VTRS;DPZ;PNW,,AVB;CCI;VICI;ABT;VLTO;OMC;EQR;VTRS;DPZ;PNW
612914,2020-06-22 13:43:58+00:00,Tenaris $TS Stock Rating Upgraded by Goldman Sachs Group https://t.co/FJKAZWC9bg #stocks,positive,UNH;OMC;VTRS;SNPS;TFC;VLTO;PNW;TRMB;VICI;DHI,,UNH;OMC;VTRS;SNPS;TFC;VLTO;PNW;TRMB;VICI;DHI
254252,2020-04-29 02:45:39+00:00,"RT @ThePitBoss16: Google Stock Soars Near 10% After Earnings 
Alphabet Inc Class A NASDAQ: $GOOGL
Market Reaction After hours 
$1,346.00 +1…",positive,TRMB;BBY;V;SNPS;VTRS;OMC;VICI;TROW;LEN;KDP,,TRMB;BBY;V;SNPS;VTRS;OMC;VICI;TROW;LEN;KDP
660162,2020-06-25 10:59:18+00:00,"DYK that on May 22 2020 $UONE was trading at $1.28 and today it’s opening at $21.50. 
Who put in $1,000 + on or B4 the 26th?
IDK... they should be proud. 
Unless you’re White and haven’t donated money back to the Black community.
Don’t have to.
But it would be nice. 
JS
#stocks https://t.co/yVKpZIVN7G",positive,MDLZ;OMC;DPZ;AVB;CHD;VICI;UNH;VTRS;OKE;BRK.B,,MDLZ;OMC;DPZ;AVB;CHD;VICI;UNH;VTRS;OKE;BRK.B
927023,2020-07-16 19:18:42+00:00,"https://t.co/Pj9Gu287hf
$MA, $SAM   to Intraday_Trend_End.] https://t.co/O6wkep5G2a =",neutral,CCI;VICI;AVB;ABT;IVZ;DPZ;PNW;VTRS;OKE;EQR,,CCI;VICI;AVB;ABT;IVZ;DPZ;PNW;VTRS;OKE;EQR
523018,2020-06-15 20:01:44+00:00,"RT @jadid: Green suites the #StockMarket . The market continues to rebound, erasing earlier losses. $DJI $NDX $SPX $RUT #MarketUpdate https…",positive,V;UBER;TROW;PTC;AME;VTRS;TFC;IFF;HPQ;GD,,V;UBER;TROW;PTC;AME;VTRS;TFC;IFF;HPQ;GD
548244,2020-06-16 02:45:02+00:00,"$qqq We have detected a noticeable rise in the Zeitgeist for Invesco QQQ Trust at  https://t.co/RAhgfFVkoM
Visit DataSwarm Markets for more information
#STOCKS #NASDAQ
DataSwarm ref: 101873",positive,AVB;VICI;IRM;VTRS;ABT;IVZ;TFC;OMC;LLY;PSA,,AVB;VICI;IRM;VTRS;ABT;IVZ;TFC;OMC;LLY;PSA
831465,2020-07-09 13:41:30+00:00,$T dropped under $30 so you know what i did 😏😏,negative,DOW;PAYX;TMO;CI;TRMB;PCG;BRK.B;WELL;CHD;ITW,,DOW;PAYX;TMO;CI;TRMB;PCG;BRK.B;WELL;CHD;ITW
365735,2020-05-31 21:10:06+00:00,"#LEGO #LEGOCity set 60132 - Service Station, 2016 Release #LEGOVehicles #LEGOcars #AFOL #LEGObricks #CollectibleToys #Toys #SP500 #stocks #instafollow #legoresaleprices #LEGOblocks #top10best #top10LEGO https://t.co/EBLT5fdutd",neutral,AVB;VICI;VTR;ESS;IRM;CCI;BLK;DHI;TFC;MDLZ,,AVB;VICI;VTR;ESS;IRM;CCI;BLK;DHI;TFC;MDLZ
572226,2020-06-18 11:28:55+00:00,RT @SheepKnowMore: Fake outrage. $FB is an invaluable Deep State election-interference tool. Tantrums like this by their #FakeNews media al…,negative,UBER;ROL;IFF;ITW;NFLX;PSA;KO;AZO;ALGN;WELL,,UBER;ROL;IFF;ITW;NFLX;PSA;KO;AZO;ALGN;WELL
145407,2020-04-21 13:20:35+00:00,"$ES_F Needs to trade $90s+ or $2640-$2650 on deck today 

$SPY $SPX https://t.co/zTkybafvh6",neutral,CCI;VICI;AVB;DPZ;VTRS;PNW;PAYX;VLTO;VTR;CI,,CCI;VICI;AVB;DPZ;VTRS;PNW;PAYX;VLTO;VTR;CI
482491,2020-06-10 15:54:01+00:00,"Told ya so @CNBCFastMoney . Tesla $tsla up another 7.5% today so far today to $1,011. At this rate we’ll be at 2k by the end of June. 😉 #tesla #ev #cnbc #stocks #stockmarket #space #batteries #cybertruck #teslasemi https://t.co/kurTilLYSq",positive,V;OMC;VTRS;IRM;UNH;VICI;BBY;TFC;PNW;LKQ,,V;OMC;VTRS;IRM;UNH;VICI;BBY;TFC;PNW;LKQ
452658,2020-06-08 15:43:34+00:00,"RT @conkers3: @HTVIOLA @wheeliedealer Thank u4 such generous feedback Henry👏

Pete &amp; I are focused on #learning &amp; #improving our #investing…",positive,CMG;PTC;V;UBER;BBY;IFF;TROW;LH;KEYS;LULU,,CMG;PTC;V;UBER;BBY;IFF;TROW;LH;KEYS;LULU
489159,2020-06-10 06:45:03+00:00,"That’s right. We’re facing the prospect of a long and deep recession, and yet stock prices have surged 45% in a matter of weeks. Just stay calm — and keep taking the shots #Stocks #Investing https://t.co/sKV4idhlVy",positive,TFC;BBY;NVR;ROL;BRK.B;IRM;AZO;PHM;TROW;ESS,,TFC;BBY;NVR;ROL;BRK.B;IRM;AZO;PHM;TROW;ESS
326699,2020-05-08 05:04:08+00:00,DHI Group $DHX Price Target Cut to $4.25 by Analysts at B. Riley https://t.co/iVhKwDicqV #stocks,negative,AVB;OMC;VLTO;VRSN;VICI;CCI;CTSH;UNH;VTRS;TRMB,,AVB;OMC;VLTO;VRSN;VICI;CCI;CTSH;UNH;VTRS;TRMB
36429,2020-04-13 18:12:46+00:00,"RT @vincent13031925: Biggest mistakes of the century:

From before,

Apple $AAPL is only a PC maker

Amazon $AMZN is only a bookstore 

Goo…",negative,BRK.B;NVR;WELL;AVB;TXT;BLK;PCG;DOW;PHM;AZO,,BRK.B;NVR;WELL;AVB;TXT;BLK;PCG;DOW;PHM;AZO
252986,2020-04-29 06:48:21+00:00,"Available #onhand #stocks of REGULAR #CYTOKIT text me at 09653052991  

 #pampalaglag #cytotec #cytoteckit #abortion #mifepristone #misoprostol #abortionpills #abortionphilippines #cytotecphilippines #cytokitphilippines 09653052991 :) https://t.co/7azgTj5r47",neutral,AVB;VTR;IRM;CCI;VTRS;DHI;ABT;VICI;TFC;LLY,,AVB;VTR;IRM;CCI;VTRS;DHI;ABT;VICI;TFC;LLY
524841,2020-06-15 18:05:37+00:00,"Week 24 (Mon PM Recap)

$spx 3023.75 breakout to 3040, 3055, 3070 https://t.co/BpOhEm4Qoc https://t.co/Oz1OY6FuhI",positive,AVB;CCI;ABT;PNW;VICI;EQR;VTRS;VTR;VLTO;OKE,,AVB;CCI;ABT;PNW;VICI;EQR;VTRS;VTR;VLTO;OKE
391857,2020-06-02 04:27:17+00:00,Check which story for #DowJones has the highest score $V $MMM $MCD https://t.co/8zP8MKc2dK https://t.co/uc6PfL9S6o,positive,V;VTRS;OMC;LKQ;BBY;PTC;UNH;VICI;SNPS;UBER,V,VTRS;OMC;LKQ;BBY;PTC;UNH;VICI;SNPS;UBER
161671,2020-04-22 09:53:11+00:00,"RT @Lakshmi_888: When I called highs $SPX 33xx,most called 3500+
When most called &lt;1800 at SPX 2175,I called reversal
When most called 3000…",positive,AVB;CCI;VICI;VTRS;BRK.B;MDLZ;ABT;PNW;OMC;BLK,,AVB;CCI;VICI;VTRS;BRK.B;MDLZ;ABT;PNW;OMC;BLK
742475,2020-07-01 02:15:56+00:00,@omgwtf2011 @BearingtonTrade $T made their dollar back 🤣🤣🤣🤣 https://t.co/wmKK5XErq0,positive,VRSN;AVB;MTCH;IRM;PAYX;VTRS;KO;CCI;UBER;OMC,,VRSN;AVB;MTCH;IRM;PAYX;VTRS;KO;CCI;UBER;OMC
100306,2020-04-17 14:54:41+00:00,"Why Amazon is thriving when retail sector takes a severe beating from Covid-19...
https://t.co/GzEIw6uTWS
#retail #Walmart #Amazon $WMT $AMZN $TGT $DG $M #Macy's #Dollar #General #Coronavirus #Covid-19 #Pandemic #shutdown #epidemic https://t.co/8b0fIxe4GC",negative,BBY;TFC;BRK.B;TROW;DHI;V;UNH;MDLZ;OMC;LEN,,BBY;TFC;BRK.B;TROW;DHI;V;UNH;MDLZ;OMC;LEN
188124,2020-04-24 14:32:14+00:00,Nomura Increases Tractor Supply $TSCO Price Target to $95.00 https://t.co/MKWK2oCfnz #stocks,positive,V;VRSN;VTRS;IFF;LKQ;IRM;TFC;TMO;VLTO;HOLX,,V;VRSN;VTRS;IFF;LKQ;IRM;TFC;TMO;VLTO;HOLX
317321,2020-05-08 20:29:16+00:00,$FANG - Diamondback Energy: Quality Guidance From Management. https://t.co/u70RjddJYE #finance #stocks #business,positive,VRSN;TFC;TROW;DHI;OMC;IRM;UNH;ROL;CINF;LKQ,,VRSN;TFC;TROW;DHI;OMC;IRM;UNH;ROL;CINF;LKQ
755186,2020-07-02 11:00:01+00:00,"📺Available now to view on demand: Cycles In The Time of #COVIDー19, with @bcaresearch's strategist, Mathieu Savary. Watch the webinar now 👉  https://t.co/M7ViH92nFC .
#bonds #stocks #investors #funds. https://t.co/yZUCaLqWGu",neutral,TFC;AVB;VICI;CCI;VRSN;ESS;DHI;VTRS;OMC;VTR,,TFC;AVB;VICI;CCI;VRSN;ESS;DHI;VTRS;OMC;VTR
339775,2020-05-28 16:58:58+00:00,RT @ZacksResearch: What's the short-term outlook for Disney? $DIS https://t.co/R4lUsdzaeV,neutral,VICI;AVB;ESS;VTRS;BLK;VRSN;CCI;PAYX;MDLZ;VTR,,VICI;AVB;ESS;VTRS;BLK;VRSN;CCI;PAYX;MDLZ;VTR
868308,2020-07-12 08:35:07+00:00,Tenaris SA $TS Expected to Post Quarterly Sales of $1.14 Billion https://t.co/VoQrURiDDx #stocks,neutral,UNH;VICI;VLTO;LLY;OMC;VTRS;AVB;CCI;SNPS;TRMB,,UNH;VICI;VLTO;LLY;OMC;VTRS;AVB;CCI;SNPS;TRMB
936377,2020-07-16 06:56:44+00:00,"RT @JackChappleSci: China Is Buying Up The World's Ports...And No One Is Talking About It
https://t.co/h8vvMo2tLT

#china #business #longbe…",positive,BRK.B;AVB;KO;VICI;VRSN;CCI;OMC;BLK;PAYX;TRMB,,BRK.B;AVB;KO;VICI;VRSN;CCI;OMC;BLK;PAYX;TRMB
678871,2020-06-26 03:35:35+00:00,"RT @FacelessTrader: We can $work from home, oh, oh, oh oh - Fifth Harmony
https://t.co/ZPFeSKXUDa

I dont care about Goldman Sachs downgrad…",positive,TFC;VRSN;AVB;IFF;IRM;DOW;BLK;TROW;DHI;OMC,,TFC;VRSN;AVB;IFF;IRM;DOW;BLK;TROW;DHI;OMC
890244,2020-07-14 23:05:35+00:00,RT @The_Hedge_House: $DLPN Only ONE day removed from the misguided article that was intentionally published by @Benzinga 🤔. Please do not u…,neutral,OMC;TFC;DOW;DVN;AVB;BSX;LHX;VTRS;BRK.B;IFF,,OMC;TFC;DOW;DVN;AVB;BSX;LHX;VTRS;BRK.B;IFF
472181,2020-06-09 07:44:58+00:00,"Remember the turn? Now start preparing for the greatest market crash in history. I say it like I see it. 

$TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/OhukyvRnIm",negative,PAYX;PNW;CI;AVB;MDLZ;BLK;BRK.B;UNH;VICI;VTRS,,PAYX;PNW;CI;AVB;MDLZ;BLK;BRK.B;UNH;VICI;VTRS
445012,2020-06-07 06:28:55+00:00,Analysts Expect GreenSky Inc $GSKY Will Announce Quarterly Sales of $104.06 Million https://t.co/lI3jhYZz97 #stocks,neutral,VLTO;UNH;SNPS;TRMB;VICI;OMC;ABT;ADBE;VTRS;CDNS,,VLTO;UNH;SNPS;TRMB;VICI;OMC;ABT;ADBE;VTRS;CDNS
22115,2020-04-11 19:22:03+00:00,#ES_F #CL_F #NQ_F $GOLD #OOTT #OATT $SPY $SPX #Trading #Forex #forexsignals #EURUSD #GBPUSD #OPEC #Volatility $VIX $VXX #Futures #SP500 #6E_F #6B_F https://t.co/09OqZw6DOg,neutral,IVZ;VICI;CCI;CINF;MDLZ;BLK;AVB;PNW;TFC;BRK.B,,IVZ;VICI;CCI;CINF;MDLZ;BLK;AVB;PNW;TFC;BRK.B
702826,2020-06-29 15:55:20+00:00,"$AMZN Amazon to Pay $500M Bonuses to Employees Who Worked in June

https://t.co/KBf02J6Sk1",positive,AVB;VICI;PAYX;VTRS;CCI;ESS;OMC;PNW;TRMB;UNH,,AVB;VICI;PAYX;VTRS;CCI;ESS;OMC;PNW;TRMB;UNH
270008,2020-05-04 12:58:35+00:00,@CNBCFastMoney $AAPL-- DUMP DUMP. OVERVALUED AND EXPENSIVE JUNK.,negative,UBER;AZO;NFLX;ROL;KO;BBY;TROW;BRK.B;DOW;ITW,,UBER;AZO;NFLX;ROL;KO;BBY;TROW;BRK.B;DOW;ITW
337283,2020-05-28 19:48:08+00:00,"@GoldmanSachs, #es, #sp500, #usdollar, #euro, #aussiedollar, #poundsterling
still uncertain on the direction of the dollar. The euro has bounced off the lows. https://t.co/6UTsTHOWiN",negative,BRK.B;ABT;MDLZ;AVB;TFC;DOW;VTRS;OMC;CCI;IVZ,,BRK.B;ABT;MDLZ;AVB;TFC;DOW;VTRS;OMC;CCI;IVZ
861422,2020-07-11 04:21:44+00:00,Weekly High Frequency Indicators: The Nowcast Retreats Slightly. https://t.co/2jjkUEBSPC #stockmarket #stocks #trading,neutral,BRK.B;AVB;CINF;TFC;BLK;ESS;IVZ;PNW;CCI;OMC,,BRK.B;AVB;CINF;TFC;BLK;ESS;IVZ;PNW;CCI;OMC
582073,2020-06-19 16:34:42+00:00,RT @ChrisCarreon06: Beautiful box in #ES_F $SPX forming this week. You guys know what comes next!,positive,VTRS;KO;IFF;UBER;MCD;PAYX;BSX;ALGN;PNW;DOW,,VTRS;KO;IFF;UBER;MCD;PAYX;BSX;ALGN;PNW;DOW
497708,2020-06-11 17:55:11+00:00,RT @RedDogT3: $spx intraday look with some levels and thoughts https://t.co/41qBwfESDv,neutral,VRSN;IRM;TFC;AVB;CCI;VTRS;ABT;VICI;LKQ;DHI,,VRSN;IRM;TFC;AVB;CCI;VTRS;ABT;VICI;LKQ;DHI
449814,2020-06-08 19:12:55+00:00,$BYND is up 20% since our entry from last week. Price blasted through one PLL zone today and stopped at the second. You want so see support at the PLL zone above 150$ from now on. #stocks https://t.co/C0CaebstL5,positive,IRM;DHI;TFC;LKQ;IFF;KO;PSA;VRSN;BRK.B;NVR,,IRM;DHI;TFC;LKQ;IFF;KO;PSA;VRSN;BRK.B;NVR
